event_id,duplicate_status,canonical_event_id,match_reason,source_organization,url
"EVT-BSEE-0057","UNIQUE","EVT-BSEE-0057","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-462-process-explosion-causes-medical-evacuation"
"EVT-BSEE-0058","UNIQUE","EVT-BSEE-0058","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-461-recent-tagline-entanglements-result-in-several-high-potential"
"EVT-BSEE-0059","UNIQUE","EVT-BSEE-0059","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-460-overhaul-ball-crashes-to-deck-resulting-in-high-potential-near"
"EVT-BSEE-0060","UNIQUE","EVT-BSEE-0060","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-459-khamsin-drillship-fatality-update"
"EVT-BSEE-0061","UNIQUE","EVT-BSEE-0061","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-458-investigation-of-subsea-leak-identifies-the-use-of-materials"
"EVT-BSEE-0062","UNIQUE","EVT-BSEE-0062","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-457-broken-breaker-bar-injury-with-medical-evaluation-guidance"
"EVT-BSEE-0063","UNIQUE","EVT-BSEE-0063","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-456-extreme-caution-advised-during-swing-rope-transfers"
"EVT-BSEE-0064","UNIQUE","EVT-BSEE-0064","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-455-person-injured-when-safety-mechanisms-failed"
"EVT-BSEE-0065","UNIQUE","EVT-BSEE-0065","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-454-auxiliary-line-abrading-causes-rope-guard-failure"
"EVT-BSEE-0066","UNIQUE","EVT-BSEE-0066","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-453-fires-during-decommissioning-cause-injuries"
"EVT-BSEE-0067","UNIQUE","EVT-BSEE-0067","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-452-ineffective-stinger-hook-pin-installation-high-potential-for"
"EVT-BSEE-0068","UNIQUE","EVT-BSEE-0068","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-451-body-mechanics-lifting-techniques-and-repetitive-motion-lead-to"
"EVT-BSEE-0069","UNIQUE","EVT-BSEE-0069","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-450-unsafe-chemical-use-and-disposal"
"EVT-BSEE-0070","UNIQUE","EVT-BSEE-0070","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-449-temporary-equipment-as-a-potential-source-of-ignition-on"
"EVT-BSEE-0071","UNIQUE","EVT-BSEE-0071","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-448-hazards-associated-with-cranes-on-idle-facilities-pose-safety"
"EVT-BSEE-0072","UNIQUE","EVT-BSEE-0072","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-447-poor-preparation-prior-to-hot-work-leads-to-fires"
"EVT-BSEE-0073","UNIQUE","EVT-BSEE-0073","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-446-unsafe-working-practices-result-in-crane-injury"
"EVT-BSEE-0074","UNIQUE","EVT-BSEE-0074","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-445-stored-energy-in-slings-causes-multiple-injuries"
"EVT-BSEE-0075","UNIQUE","EVT-BSEE-0075","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-442-unsecured-pressurized-hoses-result-in-hand-injuries-442"
"EVT-BSEE-0076","UNIQUE","EVT-BSEE-0076","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-441-bsee-and-uscg-identify-delayed-t-time-execution-poor-operational"
"EVT-BSEE-0077","UNIQUE","EVT-BSEE-0077","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-440-reducing-incidents-through-increasing-training-and-supervision"
