priority,event_id,source,category,reason,field_in_question,current_value
P0,EVT-BSEE-0105,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,23ed6d825b2dfd0da78a60b9a44dd7cf34855e4393d46f422d8b6c39d936a059
P0,EVT-BSEE-0106,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,e39fa76bf9daa470812539bcb19c749adeafc2a1be8d6a7e154ae92c4203efc9
P0,EVT-BSEE-0107,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,f5b3c21cf3708bd5e28ffc61cd6601f4f1a3dd8c1259c3c9e85f6df051bd429c
P0,EVT-BSEE-0108,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,79fff03c16f5d398e71291275ead2ad5972cbdd21e2f988fc34849117481d0e1
P0,EVT-BSEE-0109,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,3d6a874d8d32e4904dcae0b01bb18420507e591690ac195c359eda81380a4040
P0,EVT-BSEE-0110,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,f30a84f2ea7bde6c9fc251c9634ecda4cf4b13b36ccfe79aa28cc23589ceec53
P0,EVT-BSEE-0111,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,86f389f87936ca5c8c23586bf49d6873f5345f209d49b04eb7ac1665f58b6e90
P0,EVT-BSEE-0112,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,c18f1915c0f156d4f9b609120b4d71a5f7f0f4758f7d0854f01657f3a8bccad5
P0,EVT-BSEE-0113,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,a5f66bc46ad54be2ae76e26c3a907c3773472b417d59ae4239f44eb29fcf92c1
P0,EVT-BSEE-0114,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,0194893891713c81ece4d5772e7efc2b8b6127b8ec8ffab2b614c8dc5f242acc
P0,EVT-BSEE-0115,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,7374bf04ddd0ad1fb19f8d3c5382d88d9cabeaca826750c0dceff38f42a12698
P0,EVT-BSEE-0116,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,1c31c2c038160e8dc2b801e0ad5b0051013d03c0f0319a9ac5ebbee3278b77b5
P0,EVT-BSEE-0117,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,4e4a6874b904735bbbaf5b8516a7a2bd3ddd754716f5cb0136921723742e35bd
P0,EVT-BSEE-0118,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,f59a715bd1eee991f09324ce88cb1db4d99f7c4f73c7c62a60ea2509b0b31444
P0,EVT-BSEE-0119,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,a2d86964aa8e04951823ef447a513985d358702cbc0464e8d252df273f35572a
P0,EVT-BSEE-0120,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,964e7ac6bfdd65bc4f19399f233bcc9134ca3876e95777b774dd277b317d0bab
P0,EVT-BSEE-0121,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,34dafc99166616f04809102b9cbf61f001edea226228b5bd6d2ffc5cf62334c8
P0,EVT-BSEE-0122,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,2e706f81e6e7bb72e0b311c4860596f00b53748cb2da89a725d07593ebac0afa
P0,EVT-BSEE-0123,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,18e5813ec74a7483a7ae95f23822a51954dc2b7c510a596a4b8e4fcaa5ca8e67
P0,EVT-BSEE-0124,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,f2d7a6be31bc75943659829e8041838882b36927d882efc8e4fb71e2a3cf09ad
P0,EVT-BSEE-0125,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,ddb102566c6bb0ea52ba39e050a135d04f1269cb475cf59698e9d5b41dfd8fa7
P0,EVT-BSEE-0126,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,131c200c58a392376fcb74b55e318f8dcf0304c21f6cb42a09bd1c4f3b8922db
P0,EVT-BSEE-0127,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,4c3a3800ac5ce3294da7d89cfe38e1f53cde9e9469107f883fa87d083ee639f2
P0,EVT-BSEE-0128,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,3ccf38e52315a05a94980140dac5a6ce427ffce2d6f799544aa508235c7ae183
P0,EVT-BSEE-0129,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,d51e8d93f35175b65e930e7d6c406ec7457703781c9271c768f848bfdb71fc21
P0,EVT-BSEE-0130,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,210ee31f345eb42116177be4f701131a7a3850109b6fc21dafdba1e1a3b19244
P0,EVT-BSEE-0131,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,da639e9907031254df5f4271e20f1b8ae014e25738f7bebe841a94fc1ff820c6
P0,EVT-BSEE-0132,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,771e44466096512f152026abeae809f8ca80c8cd5ce2f06a8ebee7f82e542424
P0,EVT-BSEE-0133,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,d473a48ee7f43f965aab51fbe0c70582d91022625a72b291bf6ff69b46aed3ed
P0,EVT-BSEE-0134,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,0557b3f5ed10b89e03a6ecacb3aa3f65e419a44faaca891713275ef9893bf5fc
P0,EVT-BSEE-0135,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,6ac2c5d516794fdd5747bf0191e30a07312d0e131e71b7704dbadc4a5c05548c
P0,EVT-BSEE-0136,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,f7efd4d64eb35a8534f6262b1f0d91337ac0c3dc01511aa940c1b5fef629f6c5
P0,EVT-BSEE-0137,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,8822536900b62e7688de24e4eeadf87f343808f73c9b6011d33a12a57aa64856
P0,EVT-BSEE-0138,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,89068fca088560429b1354deb07ae309de74a9265de1256dea399195474fe257
P0,EVT-BSEE-0139,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,921b5f1c0ebab8b6c7e3ee6b325485de2fc8c74860671dc0dd250eca3cfa98fd
P0,EVT-BSEE-0140,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,b2c0f9476ec629ef293142c292dec9e7fb2326642398dcb3a8a13df1a78ebeff
P0,EVT-BSEE-0141,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,1dbafbac1e9aedd76898f202f1a74481dc9d30cb76f20e27321cc45de3996ed4
P0,EVT-BSEE-0142,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,9b088142f365bc66ca31072b2940478b5e9f2417ae8a24bf1b5f585023e28736
P0,EVT-BSEE-0143,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,e502ca5a9c3ba346e000c3b0b4b7efdbd14782eb9801d70c990b8361299d3525
P0,EVT-BSEE-0144,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,661a18f3a78003d06cfe2b44cabe287379d997b831a2f466e5129b36ff358e66
P0,EVT-BSEE-0145,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,d6158afa47b53f39030f089c300938a69580697d8c635f82aa1239b6f4370f87
P0,EVT-BSEE-0146,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,3516f8c7cdd144e43d946735bae365a7aaf1c128aee8a0a0946a1201e36ade56
P0,EVT-BSEE-0147,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,048473aed70dc5ca47f6d5f4f10dbe99cc80c8016ac5550992b00eeb1d37d918
P0,EVT-BSEE-0148,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,e4229fb47af93a25bf40414861d4d803c6e89c6815c82c0a9297d794f6ad4ff3
P0,EVT-BSEE-0149,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,1e4915431b0e3adc73b76d9327ee9c2cf8fd3ed27275aa6e5e40fdd0a506cab8
