document_id,source,url,title,expected_path,actual_path,file_present,manifest_sha256,actual_sha256,hash_match,retrieval_status,extraction_status,event_count,provenance_status,notes
SRC-BSEE-0035,BSEE,https://www.bsee.gov/safety-alerts/improperly-depressurizing-piping-to-remove-a-hydrate-causes-injury,SRC-BSEE-0035.pdf,dataset/documents/bsee/SRC-BSEE-0035.pdf,dataset/documents/bsee/SRC-BSEE-0035.pdf,YES,ee5beaf26c48eea29e7bea6446e07436067647f220179d21590d4316b65f4004,ee5beaf26c48eea29e7bea6446e07436067647f220179d21590d4316b65f4004,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0036,BSEE,https://www.bsee.gov/safety-alerts/scam-alert-suspicious-requests-for-payment,SRC-BSEE-0036.pdf,dataset/documents/bsee/SRC-BSEE-0036.pdf,dataset/documents/bsee/SRC-BSEE-0036.pdf,YES,f621958e243d6a2fe70856843cc9f5ee20cc35fed29fa15e8449b1e2c3ebffc4,f621958e243d6a2fe70856843cc9f5ee20cc35fed29fa15e8449b1e2c3ebffc4,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0037,BSEE,https://www.bsee.gov/safety-alerts/bsee-risk-based-inspection-identifies-welding-and-burning-hazards,SRC-BSEE-0037.pdf,dataset/documents/bsee/SRC-BSEE-0037.pdf,dataset/documents/bsee/SRC-BSEE-0037.pdf,YES,8c5fe021c83a0e8bbc2c55765b1d20a22d17955f962edd7deea5cd3ce4f51a6f,8c5fe021c83a0e8bbc2c55765b1d20a22d17955f962edd7deea5cd3ce4f51a6f,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0038,BSEE,https://www.bsee.gov/safety-alerts/hazardous-helideck-conditions-results-in-near-miss-incident,SRC-BSEE-0038.pdf,dataset/documents/bsee/SRC-BSEE-0038.pdf,dataset/documents/bsee/SRC-BSEE-0038.pdf,YES,c762878d14f305fc45ca22e850bf840bc54e859e75d1cfaa90c859f322853924,c762878d14f305fc45ca22e850bf840bc54e859e75d1cfaa90c859f322853924,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0039,BSEE,https://www.bsee.gov/safety-alerts/bsee-safety-alert-480-fingerboard-locking-bolt-failure-leads-to-near-miss-incident,SRC-BSEE-0039.pdf,dataset/documents/bsee/SRC-BSEE-0039.pdf,dataset/documents/bsee/SRC-BSEE-0039.pdf,YES,32ba3b09bed1ca0232ffb01bbd188bcd2a06c9fbed4d34282f9cd8f88cb24588,32ba3b09bed1ca0232ffb01bbd188bcd2a06c9fbed4d34282f9cd8f88cb24588,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0040,BSEE,https://www.bsee.gov/safety-alerts/bsee-safety-alert-479-lack-of-adherence-to-helideck-safety-procedures-results-in,SRC-BSEE-0040.pdf,dataset/documents/bsee/SRC-BSEE-0040.pdf,dataset/documents/bsee/SRC-BSEE-0040.pdf,YES,f4df52baca27dc27287aa77f46560ad17a0f0ed50ad585a4e770a7c899454ce7,f4df52baca27dc27287aa77f46560ad17a0f0ed50ad585a4e770a7c899454ce7,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0041,BSEE,https://www.bsee.gov/safety-alerts/bsee-safety-alert-478-inadequately-maintained-electrical-connections-and-compromised,SRC-BSEE-0041.pdf,dataset/documents/bsee/SRC-BSEE-0041.pdf,dataset/documents/bsee/SRC-BSEE-0041.pdf,YES,0fc2159b009745aa7a7ebc46d3890fa4c06307bcd0f6fb4045abe9777081b627,0fc2159b009745aa7a7ebc46d3890fa4c06307bcd0f6fb4045abe9777081b627,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0042,BSEE,https://www.bsee.gov/safety-alerts/bsee-safety-alert-477-hazards-of-working-in-confined-spaces,SRC-BSEE-0042.pdf,dataset/documents/bsee/SRC-BSEE-0042.pdf,dataset/documents/bsee/SRC-BSEE-0042.pdf,YES,e4db82f973bc781c1fa82195d46bbfe9762795889f34011260955b5ea4c66ff7,e4db82f973bc781c1fa82195d46bbfe9762795889f34011260955b5ea4c66ff7,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0043,BSEE,https://www.bsee.gov/safety-alerts/bsee-safety-alert-476-ei-158-fatality-failure-to-use-safety,SRC-BSEE-0043.pdf,dataset/documents/bsee/SRC-BSEE-0043.pdf,dataset/documents/bsee/SRC-BSEE-0043.pdf,YES,c3d75292bbd240fea867c17dd746d2bb130218077f7839d1f9e5a8fa6cd4d917,c3d75292bbd240fea867c17dd746d2bb130218077f7839d1f9e5a8fa6cd4d917,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0044,BSEE,https://www.bsee.gov/safety-alerts/bsee-safety-alert-475-flash-fire-from-oxygen-regulator-leads-to-burn-injury,SRC-BSEE-0044.pdf,dataset/documents/bsee/SRC-BSEE-0044.pdf,dataset/documents/bsee/SRC-BSEE-0044.pdf,YES,5511737dd3af821ea4ec32782562689c7a204e1155407950c6d02b02a2968d76,5511737dd3af821ea4ec32782562689c7a204e1155407950c6d02b02a2968d76,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0045,BSEE,https://www.bsee.gov/safety-alerts/bsee-safety-alert-474-safely-approaching-a-helicopter-on-offshore-helidecks,SRC-BSEE-0045.pdf,dataset/documents/bsee/SRC-BSEE-0045.pdf,dataset/documents/bsee/SRC-BSEE-0045.pdf,YES,2b457bccb5be19568f339037b1b7b82be1687b84df1c2aab5a78b3d3782b1664,2b457bccb5be19568f339037b1b7b82be1687b84df1c2aab5a78b3d3782b1664,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0046,BSEE,https://www.bsee.gov/safety-alerts/bsee-safety-alert-473-carbon-monoxide-exposure-risk-in-offshore-environments,SRC-BSEE-0046.pdf,dataset/documents/bsee/SRC-BSEE-0046.pdf,dataset/documents/bsee/SRC-BSEE-0046.pdf,YES,52e2138c80963a4e5707b7f3cfb8197ad45dd698291c866ca5f70445cf0e95a4,52e2138c80963a4e5707b7f3cfb8197ad45dd698291c866ca5f70445cf0e95a4,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
