event_id,source_organization,document_title,source_url,document_id,document_hash,provenance_status,quality_flag,is_oil_internal
EVT-IMCA-1745,International Marine Contractors Association (IMCA),03/13: Fatality during basket transfer,https://www.imca-int.com/resources/safety/safety-flashes/0313-fatality-during-basket-transfer/,SRC-IMCA-1745,8574d07b52cb4232e09affa5bdae5f4b1cb4154ed4cafbad15dadc802b5ce401,VERIFIED,VERIFIED,False
EVT-IMCA-1746,International Marine Contractors Association (IMCA),03/13: Diver emergency decompression following construction barge anchor loss during tropical storm,https://www.imca-int.com/resources/safety/safety-flashes/0313-diver-emergency-decompression-following-construction-barge-anchor-loss-during-tropical-storm/,SRC-IMCA-1746,ae9fa3d82604d01405399f78fece017cf144e6881d3787f10fbb17ae149cf972,VERIFIED,VERIFIED,False
EVT-IMCA-1747,International Marine Contractors Association (IMCA),03/13: Lost time injury (LTI): Broken thumb,https://www.imca-int.com/resources/safety/safety-flashes/0313-lost-time-injury-lti-broken-thumb/,SRC-IMCA-1747,db693c62627cac0b7862c0fb2f7e56c6a6606272358f0f0c979f1202e9301fad,VERIFIED,VERIFIED,False
EVT-IMCA-1748,International Marine Contractors Association (IMCA),03/13: Diving decompression chambers – not fit for purpose,https://www.imca-int.com/resources/safety/safety-flashes/0313-diving-decompression-chambers-not-fit-for-purpose/,SRC-IMCA-1748,ae9fa3d82604d01405399f78fece017cf144e6881d3787f10fbb17ae149cf972,VERIFIED,VERIFIED,False
EVT-IMCA-1749,International Marine Contractors Association (IMCA),03/13: Fatal wind farm accident,https://www.imca-int.com/resources/safety/safety-flashes/0313-fatal-wind-farm-accident/,SRC-IMCA-1749,5fe3655fe40c3628f8c8e7f76f7dc5179c6a510a6a26680bf6e330534505616f,VERIFIED,VERIFIED,False
EVT-IMCA-1750,International Marine Contractors Association (IMCA),01/13: Near-miss: Shackle configuration,https://www.imca-int.com/resources/safety/safety-flashes/0113-near-miss-shackle-configuration/,SRC-IMCA-1750,6a90f4dc6a5645d785d929848b8bdbe6a16a43ddfc2a04c5ca7402381c340c6c,VERIFIED,VERIFIED,False
EVT-IMCA-1751,International Marine Contractors Association (IMCA),01/13: Damage to crane winch,https://www.imca-int.com/resources/safety/safety-flashes/0113-damage-to-crane-winch/,SRC-IMCA-1751,b366da72a3b0e3a9161e226acaab029b70e199bfab4a4aabf3064ebffcc95d1f,VERIFIED,VERIFIED,False
EVT-IMCA-1752,International Marine Contractors Association (IMCA),01/13: First aid injury: Contact with spinning spooler arm,https://www.imca-int.com/resources/safety/safety-flashes/0113-first-aid-injury-contact-with-spinning-spooler-arm/,SRC-IMCA-1752,1d17d1f9343bf5418b849962921069e0b7cbba2ae0af79d4c79db91fa5512e2f,VERIFIED,VERIFIED,False
EVT-IMCA-1753,International Marine Contractors Association (IMCA),01/13: Luff ram clevis failures,https://www.imca-int.com/resources/safety/safety-flashes/0113-luff-ram-clevis-failures/,SRC-IMCA-1753,fb68d2d62e56a4c393ff812719c4460f198e9d0527a944c4db48f6f6b08f713e,VERIFIED,VERIFIED,False
EVT-IMCA-1754,International Marine Contractors Association (IMCA),01/13: Lost time injury (LTI): Crewman broke leg falling into tank,https://www.imca-int.com/resources/safety/safety-flashes/0113-lost-time-injury-lti-crewman-broke-leg-falling-into-tank/,SRC-IMCA-1754,ec66cf494a61b6dbe58fa1390baede5c6128c97c50cbc2b53dab86cbbf3f0052,VERIFIED,VERIFIED,False
EVT-IMCA-1755,International Marine Contractors Association (IMCA),13/12 Near-miss: Poorly secured load during lifting operations,https://www.imca-int.com/resources/safety/safety-flashes/1312-near-miss-poorly-secured-load-during-lifting-operations/,SRC-IMCA-1755,704ff7a618d02419e01680f5551bcbcb572146a129b510615cc9100a82fd578f,VERIFIED,VERIFIED,False
EVT-IMCA-1756,International Marine Contractors Association (IMCA),13/12 Lost time injury (LTI): Person fell over on helideck and broke arm,https://www.imca-int.com/resources/safety/safety-flashes/1312-lost-time-injury-lti-person-fell-over-on-helideck-and-broke-arm/,SRC-IMCA-1756,8812f31174fc3468f0fd57858e2b5ab2f3c60d48adcf62d772e3ea853c554e7a,VERIFIED,VERIFIED,False
EVT-IMCA-1757,International Marine Contractors Association (IMCA),13/12 Lost time injury (LTI): Serious hand injury during subsea lifting operations,https://www.imca-int.com/resources/safety/safety-flashes/1312-lost-time-injury-lti-serious-hand-injury-during-subsea-lifting-operations/,SRC-IMCA-1757,6c18fe74988d224a3b89493e5545e59f64630e3463eb305ecb10017e26063954,VERIFIED,VERIFIED,False
